chunk_idx	page	section	text_excerpt
146		기 구 표(제12조제4항관련)	4  급
147		기 구 표(제12조제4항관련)	33
148		기 구 표(제12조제4항관련)	11
149		기 구 표(제12조제4항관련)	22
150		기 구 표(제12조제4항관련)	5  급
151		기 구 표(제12조제4항관련)	41
152		기 구 표(제12조제4항관련)	12
153		기 구 표(제12조제4항관련)	29
154		기 구 표(제12조제4항관련)	6  급
155		기 구 표(제12조제4항관련)	49
156		기 구 표(제12조제4항관련)	15
157		기 구 표(제12조제4항관련)	34
158		기 구 표(제12조제4항관련)	7  급
159		기 구 표(제12조제4항관련)	65
160		기 구 표(제12조제4항관련)	20
161		기 구 표(제12조제4항관련)	45
162		기 구 표(제12조제4항관련)	8  급
163		기 구 표(제12조제4항관련)	38
164		기 구 표(제12조제4항관련)	16
165		기 구 표(제12조제4항관련)	22
166		기 구 표(제12조제4항관련)	※ 1급은 1~2급 정원의 35% 범위 내에서 자율 운영- 행정․기술 : 행정, 기술- 행      정 : 행정, 전산, 사회복지, 보건, 직업훈련, 식품위생 등- 기      술 : 토목, 건축, 조경, 기계, 전기, 환경, 화공, 난방, 통신 등  [별표 3] <신설 2015.4.13 규정 제278호, 개정 2015.12.31 규정 제287호, 개정 2
167		청 원 경 찰  정 수 표(제14조 관련)	청 원 경 찰  정 수 표(제14조 관련)
168		청 원 경 찰  정 수 표(제14조 관련)	(단위 : 명)
169		청 원 경 찰  정 수 표(제14조 관련)	구 분  청원경찰  계
170		청 원 경 찰  정 수 표(제14조 관련)	7
